Sales Person,Country,Product,Date,Amount,Boxes Shipped,Boxes Shipped_normalized,Country_Australia,Country_Canada,Country_India,Country_New Zealand,Country_UK,Country_USA
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,"$5,320 ",180,0.2528248587570621,False,False,False,False,True,False
Van Tuxwell,India,85% Dark Bars,2022-08-01,"$7,896 ",94,0.13135593220338984,False,False,True,False,False,False
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,"$4,501 ",91,0.1271186440677966,False,False,True,False,False,False
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,"$12,726 ",342,0.481638418079096,True,False,False,False,False,False
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,"$13,685 ",184,0.2584745762711864,False,False,False,False,True,False
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,"$5,376 ",38,0.052259887005649715,False,False,True,False,False,False
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,"$13,685 ",176,0.24717514124293785,False,False,False,False,True,False
Gunar Cockshoot,Australia,After Nines,2022-03-24,"$3,080 ",73,0.1016949152542373,True,False,False,False,False,False
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,"$3,990 ",59,0.08192090395480225,False,False,False,True,False,False
Brien Boise,Australia,99% Dark & Pure,2022-07-04,"$2,835 ",102,0.1426553672316384,True,False,False,False,False,False
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,"$4,704 ",62,0.08615819209039548,False,False,False,False,True,False
Barr Faughny,USA,Orange Choco,2022-03-10,"$3,703 ",11,0.014124293785310734,False,False,False,False,False,True
Mallorie Waber,Canada,Eclairs,2022-01-13,"$1,442 ",286,0.4025423728813559,False,True,False,False,False,False
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,$168 ,156,0.2189265536723164,False,False,False,True,False,False
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,"$8,379 ",173,0.24293785310734464,False,False,False,True,False,False
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,"$6,790 ",356,0.501412429378531,True,False,False,False,False,False
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,"$4,067 ",42,0.05790960451977401,False,True,False,False,False,False
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,"$3,017 ",140,0.1963276836158192,False,False,False,False,False,True
Beverie Moffet,Canada,Milk Bars,2022-02-16,"$8,799 ",250,0.3516949152542373,False,True,False,False,False,False
Curtice Advani,UK,85% Dark Bars,2022-06-08,"$1,085 ",172,0.24152542372881355,False,False,False,False,True,False
Brien Boise,Australia,Eclairs,2022-06-27,"$6,888 ",88,0.1228813559322034,True,False,False,False,False,False
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,"$1,267 ",157,0.22033898305084745,False,False,False,False,False,True
Marney O'Breen,USA,After Nines,2022-05-30,"$4,753 ",163,0.2288135593220339,False,False,False,False,False,True
Husein Augar,UK,Drinking Coco,2022-03-14,"$3,003 ",113,0.15819209039548024,False,False,False,False,True,False
Kaine Padly,Australia,Eclairs,2022-02-28,"$7,672 ",115,0.16101694915254236,True,False,False,False,False,False
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,$168 ,321,0.4519774011299435,False,False,True,False,False,False
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,"$1,652 ",186,0.2612994350282486,False,True,False,False,False,False
Husein Augar,USA,Eclairs,2022-07-07,"$4,025 ",112,0.15677966101694915,False,False,False,False,False,True
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,"$9,492 ",151,0.211864406779661,False,False,False,True,False,False
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,"$5,061 ",301,0.423728813559322,False,False,False,True,False,False
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,"$1,722 ",121,0.1694915254237288,False,False,False,True,False,False
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,"$12,446 ",150,0.21045197740112995,False,False,False,False,True,False
